segmento,f1_baseline,f1_actual,auc_baseline,auc_actual,reentrenado
A.1 (Valor Alto),0.976,1.0,0.8442265795206972,0.8442265795206972,False
A.2 (Valor Medio),1.0,1.0,0.8125,0.8125,False
