Sub-Clase,Accuracy,F1-Score,AUC (Binario),AUC (Rangos),Límite Mediana,N Train
A.2 (Valor Medio),1.0,1.0,1.0,0.8125,57.0,100
A.1 (Valor Alto),0.9538461538461539,0.976,1.0,0.8442265795206972,745.0,260
